Mom,Word,Target,f1,f2,F1 mean,F2 mean,Vowel Duration,Pitch
 Mom7_ID_Boot_2v.wav ,2,1,395,1076,,,0.191,205
 Mom7_ID_Boot_3v.wav ,2,1,408,1534,,,0.093,205
 Mom7_ID_Boot_4v.wav ,2,1,409,1763,,,0.125,221
 Mom7_ID_Boot_5v.wav ,2,1,399,1490,,,0.158,206
 Mom7_ID_Boot_6v.wav ,2,1,416,1482,,,0.115,224
 Mom7_ID_Boot_7v.wav ,2,1,472,1134,,,0.131,231
 Mom7_ID_Boot_8v.wav ,2,1,385,1118,,,0.198,186
 Mom7_ID_Boot_9v.wav ,2,1,360,1409,,,0.115,178
,,,,,,,,
 Mom7_PD_Ball_1v.wav ,4,2,765,1267,724.4,1211.6,0.208,248
 Mom7_PD_Ball_2v.wav ,4,2,834,1269,,,0.152,163
 Mom7_PD_Ball_3v.wav ,4,2,507,1102,,,0.198,191
 Mom7_PD_Ball_4v.wav ,4,2,756,1132,,,0.176,148
 Mom7_PD_Ball_5v.wav ,4,2,760,1288,,,0.14,172
,,,,,,,,
 Mom7_PD_Bead_1v.wav ,1,2,366,3181,374.5,2515.375,0.232,167
 Mom7_PD_Bead_2v.wav ,1,2,332,3147,,,0.152,144
 Mom7_PD_Bead_3v.wav ,1,2,273,1862,,,0.215,260
 Mom7_PD_Bead_4v.wav ,1,2,357,2025,,,0.155,330
 Mom7_PD_Bead_5v.wav ,1,2,498,3260,,,0.185,215
 Mom7_PD_Bead_6v.wav ,1,2,301,1807,,,0.182,155
 Mom7_PD_Bead_7v.wav ,1,2,555,2924,,,0.212,144
 Mom7_PD_Bead_8v.wav ,1,2,314,1917,,,0.197,273
,,,,,,,,
 Mom7_PD_Boot_1v.wav ,2,2,434,1483,390,1288.16666666667,0.164,286
 Mom7_PD_Boot_2v.wav ,2,2,375,813,,,0.114,315
 Mom7_PD_Boot_3v.wav ,2,2,388,1218,,,0.112,341
 Mom7_PD_Boot_4v.wav ,2,2,372,1406,,,0.111,267
 Mom7_PD_Boot_5v.wav ,2,2,354,1622,,,0.087,302
 Mom7_PD_Boot_6v.wav ,2,2,417,1187,,,0.176,214
,,,,,,,,
 Mom9ADSball1v.wav ,4,3,812,1233,723.333333333333,1185.77777777778,0.119,144
 Mom9ADSball2v.wav ,4,3,747,1180,,,0.153,173
 Mom9ADSball3v.wav ,4,3,628,1093,,,0.168,219
 Mom9ADSball4v.wav ,4,3,631,1012,,,0.212,215
 Mom9ADSball5v.wav ,4,3,666,1291,,,0.211,222
 Mom9ADSball6v.wav ,4,3,673,1204,,,0.13,221
 Mom9ADSball7v.wav ,4,3,794,1162,,,0.128,261
 Mom9ADSball8v.wav ,4,3,787,1293,,,0.159,273
 Mom9ADSball9v.wav ,4,3,772,1204,,,0.14,169
,,,,,,,,
 Mom9IDSball10v.wav ,4,1,772,1334,646.545454545455,1243.45454545455,0.206,213
 Mom9IDSball11v.wav ,4,1,320,1002,,,0.146,202
 Mom9IDSball1v.wav ,4,1,650,1245,,,0.343,200
 Mom9IDSball2v.wav ,4,1,763,1186,,,0.238,191
 Mom9IDSball3v.wav ,4,1,696,1157,,,0.15,194
 Mom9IDSball4v.wav ,4,1,554,904,,,0.2,278
 Mom9IDSball5v.wav ,4,1,738,1302,,,0.268,261
 Mom9IDSball6v.wav ,4,1,731,916,,,0.194,254
 Mom9IDSball7v.wav ,4,1,613,984,,,0.152,253
 Mom9IDSball8v.wav ,4,1,782,1417,,,0.122,201
 Mom9IDSball9v.wav ,4,1,493,2231,,,0.15,198
,,,,,,,,
 Mom9PDSball1v.wav ,4,2,909,1123,756.875,1362,0.199,262
 Mom9PDSball2v.wav ,4,2,589,981,,,0.159,159
 Mom9PDSball3v.wav ,4,2,683,1048,,,0.157,336
 Mom9PDSball4v.wav ,4,2,978,1429,,,0.179,343
 Mom9PDSball5v.wav ,4,2,755,1033,,,0.174,188
 Mom9PDSball6v.wav ,4,2,548,1152,,,0.126,194
 Mom9PDSball7v.wav ,4,2,1068,3068,,,0.146,213
 Mom9PDSball8v.wav ,4,2,525,1062,,,0.166,181
,,,,,,,,
 Mom9ADSbead1v.wav ,1,3,381,1748,356,2179.25,0.131,183
 Mom9ADSbead2v.wav ,1,3,325,2349,,,0.13,197
 Mom9ADSbead3v.wav ,1,3,343,1837,,,0.137,195
 Mom9ADSbead4v.wav ,1,3,375,2783,,,0.123,185
,,,,,,,,
 Mom9ADSboot1v.wav ,2,3,362,1583,388,1606.33333333333,0.099,210
 Mom9ADSboot2v.wav ,2,3,454,1607,,,0.154,216
 Mom9ADSboot3v.wav ,2,3,276,1601,,,0.146,224
 Mom9ADSboot4v.wav ,2,3,353,1576,,,0.162,214
 Mom9ADSboot5v.wav ,2,3,430,1644,,,0.154,222
 Mom9ADSboot6v.wav ,2,3,453,1627,,,0.175,227
,,,,,,,,
 Mom9IDSbead10v.wav ,1,1,397,2513,362,2203.18181818182,0.21,262
 Mom9IDSbead11v.wav ,1,1,280,1924,,,0.186,252
 Mom9IDSbead12v.wav ,1,1,280,1537,,,0.165,258
 Mom9IDSbead13v.wav ,1,1,583,1913,,,0.234,201
 Mom9IDSbead14v.wav ,1,1,430,2279,,,0.18,171
 Mom9IDSbead2v.wav ,1,1,327,2886,,,0.177,263
 Mom9IDSbead3v.wav ,1,1,305,2873,,,0.24,256
 Mom9IDSbead4v.wav ,1,1,291,1832,,,0.159,258
 Mom9IDSbead5v.wav ,1,1,363,2375,,,0.183,293
 Mom9IDSbead6v.wav ,1,1,340,1940,,,0.152,303
 Mom9IDSbead8v.wav ,1,1,386,2163,,,0.256,320
,,,,,,,,
 Mom9IDSboot10v.wav ,2,1,363,937,412.444444444444,1419.66666666667,0.115,190
 Mom9IDSboot1v.wav ,2,1,338,1079,,,0.16,328
 Mom9IDSboot2v.wav ,2,1,512,1138,,,0.17,448
 Mom9IDSboot3v.wav ,2,1,427,1163,,,0.123,143
 Mom9IDSboot5v.wav ,2,1,373,1463,,,0.21,301
 Mom9IDSboot6v.wav ,2,1,383,1728,,,0.137,207
 Mom9IDSboot7v.wav ,2,1,495,1795,,,0.154,136
 Mom9IDSboot8v.wav ,2,1,455,1343,,,0.16,313
 Mom9IDSboot9v.wav ,2,1,366,2131,,,0.142,357
,,,,,,,,
 Mom9PDSbead10v.wav ,1,2,282,2216,340.923076923077,2001.38461538462,0.151,246
 Mom9PDSbead11v.wav ,1,2,268,1859,,,0.189,262
 Mom9PDSbead12v.wav ,1,2,265,1826,,,0.201,189
 Mom9PDSbead13v.wav ,1,2,327,1927,,,0.214,220
 Mom9PDSbead14v.wav ,1,2,282,1584,,,0.186,236
 Mom9PDSbead1v.wav ,1,2,334,1937,,,0.208,293
 Mom9PDSbead2v.wav ,1,2,324,1712,,,0.165,317
 Mom9PDSbead3v.wav ,1,2,300,1865,,,0.155,195
 Mom9PDSbead4v.wav ,1,2,466,1499,,,0.165,310
 Mom9PDSbead5v.wav ,1,2,297,2077,,,0.127,272
 Mom9PDSbead6v.wav ,1,2,325,1904,,,0.178,301
 Mom9PDSbead7v.wav ,1,2,510,3099,,,0.132,210
 Mom9PDSbead9v.wav ,1,2,452,2513,,,0.16,224
,,,,,,,,
 Mom9PDSboot1v.wav ,2,2,268,1540,319.714285714286,1288.28571428571,0.147,271
 Mom9PDSboot2v.wav ,2,2,409,1039,,,0.139,265
 Mom9PDSboot3v.wav ,2,2,396,1466,,,0.13,301
 Mom9PDSboot5v.wav ,2,2,298,1363,,,0.111,205
 Mom9PDSboot6v.wav ,2,2,382,1369,,,0.146,160
 Mom9PDSboot8v.wav ,2,2,255,1130,,,0.137,212
 Mom9PDSboot9v.wav ,2,2,230,1111,,,0.116,217
,,,,,,,,
 Mom8ADSball10v.wav ,4,3,771,1264,663.272727272727,1216.90909090909,0.119,256
 Mom8ADSball11v.wav ,4,3,777,1221,,,0.094,156
 Mom8ADSball1v.wav ,4,3,630,1318,,,0.265,169
 Mom8ADSball2v.wav ,4,3,996,1343,,,0.208,194
 Mom8ADSball3v.wav ,4,3,886,1375,,,0.178,.
 Mom8ADSball4v.wav ,4,3,577,1295,,,0.225,202
 Mom8ADSball5v.wav ,4,3,603,1266,,,0.219,198
 Mom8ADSball6v.wav ,4,3,435,735,,,0.13,191
 Mom8ADSball7v.wav ,4,3,524,1260,,,0.134,266
 Mom8ADSball8v.wav ,4,3,230,908,,,0.287,202
 Mom8ADSball9v.wav ,4,3,867,1401,,,0.17,176
,,,,,,,,
 Mom8ADSbead1v.wav ,1,3,468,2849,397.428571428571,2559.42857142857,0.164,339
 Mom8ADSbead2v.wav ,1,3,393,2869,,,0.347,194
 Mom8ADSbead3v.wav ,1,3,349,2320,,,0.128,183
 Mom8ADSbead4v.wav ,1,3,396,2808,,,0.103,205
 Mom8ADSbead5v.wav ,1,3,292,2791,,,0.215,198
 Mom8ADSbead6v.wav ,1,3,434,2801,,,0.185,227
 Mom8ADSbead7v.wav ,1,3,450,1478,,,0.19,247
,,,,,,,,
 Mom8ADSboot1v.wav ,2,3,362,1674,381.714285714286,1748.42857142857,0.181,201
 Mom8ADSboot2v.wav ,2,3,380,1699,,,0.133,193
 Mom8ADSboot3v.wav ,2,3,409,1816,,,0.138,199
 Mom8ADSboot4v.wav ,2,3,320,1702,,,0.174,261
